tickertime,openprice,closeprice,high,low,predictprice
2019-10-02,8401.430908,8260.953933,8509.561644,8221.643064,9766.744249076095
2019-10-01,8313.314835,8400.038192,8495.662565,8203.543198,9752.204926080984
2019-09-30,8007.059499,8304.951558,8318.85,7789.222946,9737.683548764973
2019-09-29,8083.75484,8018.481911,8266.544001,7988.647009,9723.180099545114
2019-09-28,7980.712139,8100.457743,8262.587494,7980.712139,9708.694560851134
2019-09-27,8000.007615,8009.878315,8172.267034,7854.010249,9694.2269151256
2019-09-26,8346.933014,7948.436434,8625.402687,7965.329729,9679.77714482407
2019-09-25,9563.465784,8326.39559,9613.580998,8154.679815,9665.345232414284
2019-09-24,9893.064726,9549.738601,9893.064726,9466.795078,9650.931160377128
2019-09-23,10008.095995,9887.462756,10055.417716,9841.158945,9636.534911206145
2019-09-22,10026.304851,9988.488507,10076.590373,9884.799028,9622.156467407527
2019-09-21,10170.759614,10039.378746,10189.780747,9980.129585,9607.79581150012
2019-09-20,9929.276424,10180.689385,10272.297565,9923.786401,9593.45292601557
2019-09-19,10181.538812,9893.92328,10219.911494,9776.959971,9579.127793498243
2019-09-18,10207.437086,10180.955947,10249.527454,10157.317641,9564.820396505062
2019-09-17,10145.954544,10199.570066,10311.66738,10129.322929,9550.530717605814
2019-09-16,10311.203301,10145.779899,10352.415378,10139.432685,9536.25873938276
2019-09-15,10352.914203,10296.987025,10404.64529,10260.350838,9522.00444443094
2019-09-14,10319.783641,10346.775127,10362.652969,10196.900655,9507.767815358167
2019-09-13,10339.864083,10306.454727,10435.500732,10273.41423,9493.54883478471
2019-09-12,9984.38703,10330.878855,10357.095829,9971.335173,9479.347485343606
2019-09-11,10198.187982,10006.435763,10245.158689,9981.915613,9465.163749680572
2019-09-10,10284.444648,10185.747877,10375.365296,10184.955911,9450.997610453851
2019-09-09,10381.978835,10320.237724,10471.415588,10140.633016,9436.84905033451
2019-09-08,10441.967557,10385.098087,10571.234131,10329.525975,9422.718052005977
2019-09-07,10842.235702,10481.27537,10851.610516,10246.795521,9408.60459816458
2019-09-06,10537.28111,10854.537999,10883.642065,10502.499248,9394.50867151907
2019-09-05,10445.319082,10545.099889,10769.591741,10445.319082,9380.430254790856
2019-09-04,10647.869863,10414.284919,10709.375667,10392.204715,9366.369330713995
2019-09-03,9911.732199,10676.159286,10750.515761,9907.090028,9352.32588203527
2019-09-02,9604.15174,9893.193951,9950.02808,9597.322911,9338.29989151372
2019-09-01,9603.836743,9652.586068,9671.509074,9503.012629,9324.291341921327
2019-08-31,9616.773996,9617.644878,9686.95865,9504.704893,9310.300216042324
2019-08-30,9518.765131,9611.775415,9686.95865,9410.541207,9296.326496673879
2019-08-29,9757.560077,9518.765131,9757.560077,9391.474483,9282.370166625471
2019-08-28,10201.108505,9757.560077,10269.30147,9686.46217,9268.431208719208
2019-08-27,10363.093049,10201.108505,10363.276313,10076.801922,9254.509605789803
2019-08-26,10148.58312,10363.093049,10554.825705,10148.58312,9240.605340684431
2019-08-25,10135.618487,10148.58312,10304.068932,9976.428429,9226.718396262948
2019-08-24,10382.207032,10135.618487,10404.344816,9953.266758,9212.848755397656
2019-08-23,10108.459807,10382.207032,10424.351995,9943.659435,9198.99640097338
2019-08-22,10139.675163,10108.459807,10228.65291,9807.207262,9185.161315887533
2019-08-21,10744.75817,10139.675163,10783.37087,9940.483399,9171.343483050046
2019-08-20,10910.993969,10744.75817,10932.670188,10591.751929,9157.542885383273
2019-08-19,10340.605028,10910.993969,10904.740229,10298.876557,9143.759505822225
2019-08-18,10240.263186,10340.605028,10510.978895,10103.596202,9129.993327314336
2019-08-17,10357.544343,10240.263186,10451.637897,10061.489505,9116.24433281953
2019-08-16,10312.6563,10357.544343,10525.180551,9805.180106,9102.512505310298
2019-08-15,10047.079554,10312.6563,10434.701504,9636.170809,9088.797827771543
2019-08-14,10899.893622,10047.079554,10899.893622,9991.126487,9075.100283200563
2019-08-13,11385.037659,10899.893622,11434.479446,10816.349662,9061.419854607442
2019-08-12,11560.687759,11385.037659,11560.687759,11314.795609,9047.756525014356
